scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
winter_peak,6,0,29,0.12353751908299482,0.0,-0.12353751908299482,0.17115784448349095,0.5111117186303685,6.30708703329,143.31,6.466480712917372,6.564743479549359
winter_peak,7,0,29,0.13290174210797678,0.0,-0.13290174210797678,0.17676558630755695,0.5278575626200679,6.656536045245001,152.79,6.834763730863078,6.937649726470875
winter_peak,8,0,29,0.2138803812063802,0.0,-0.2138803812063802,0.1933603305536436,0.5774128037335822,7.241501787885,167.44,7.453800804601174,7.632763981773274
winter_peak,9,0,29,0.06596956144474525,0.0,-0.06596956144474525,0.29630827301389234,0.8848360478104453,8.025423902295,182.48,8.288477920178234,8.29708193228774
winter_peak,10,0,29,0.0,0.16123653793389642,0.16123653793389642,0.3181299380848842,0.9499999248823299,8.268592801125001,195.23,8.548599525155264,8.310868585822638
winter_peak,11,0,29,0.0,0.12467616521793858,0.12467616521793858,0.14816578248150086,0.4424528011255583,8.23203244221,189.12,8.509453342100564,8.31138660509724
winter_peak,12,0,29,0.035165366722010954,0.0,-0.035165366722010954,0.016743715335341233,0.05000009872249454,8.06708570664,184.09,8.333003183644696,8.308096659629781
winter_peak,13,0,29,0.27791357962067,0.0,-0.27791357962067,0.02693561984120592,0.08043517368986801,7.698931394775,176.98,7.9401287819187365,8.179652159574351
winter_peak,14,0,29,0.11694581334017407,0.0,-0.11694581334017407,0.21388482516427054,0.6387030691380937,7.912341861930001,180.11,8.16770881872702,8.232504215902981
winter_peak,15,0,29,0.07849519520717574,0.0,-0.07849519520717574,0.2510348793306917,0.7496405963633929,7.999916675145,182.19,8.26122591246299,8.283537625833972
winter_peak,16,0,29,0.02929767535530503,0.0,-0.02929767535530503,0.2682393542092518,0.8010166156738139,8.067935947545001,187.28,8.33391203860094,8.302708214814333
winter_peak,17,0,29,0.0,0.11880030707484635,0.11880030707484635,0.2511438659815429,0.7499660524042331,8.19122087877,182.43,8.465770771764667,8.274951181129838
winter_peak,18,0,29,0.0,0.00029147603078732987,0.00029147603078732987,0.09159741024297108,0.27352827393132756,8.093443174695,180.74,8.361180967518198,8.298089968388174
winter_peak,19,0,29,0.14428798540642396,0.0,-0.14428798540642396,0.046319075106464436,0.13831806631169427,7.8689795757750005,177.25,8.12143179592448,8.216019154857163
winter_peak,20,0,29,0.14775509515853402,0.0,-0.14775509515853402,0.10335616091028763,0.30864226640216547,7.63176236328,175.11,7.86859089364974,7.971012395406205
winter_peak,21,0,29,0.12362123280508497,0.0,-0.12362123280508497,0.14483924526380876,0.43251909250967013,7.353733587345,173.18,7.572938160259716,7.6546372266989
winter_peak,22,0,29,0.12145362171829222,0.0,-0.12145362171829222,0.15667572405274166,0.46786519677149924,7.0816564977450005,167.9,7.284326225332346,7.368368066887081
winter_peak,23,0,29,0.11818257775821794,0.0,-0.11818257775821794,0.1640292880213946,0.4898244165164002,6.983028552765001,164.63,7.179876968831405,7.262112496720026
